Expt,Run,Speed
E1,R1,850
E1,R2,740
E1,R3,900
E1,R4,1070
E1,R5,930
E1,R6,850
E1,R7,950
E1,R8,980
E1,R9,980
E1,R10,880
E1,R11,1000
E1,R12,980
E1,R13,930
E1,R14,650
E1,R15,760
E1,R16,810
E1,R17,1000
E1,R18,1000
E1,R19,960
E1,R20,960
E2,R1,960
E2,R2,940
E2,R3,960
E2,R4,940
E2,R5,880
E2,R6,800
E2,R7,850
E2,R8,880
E2,R9,900
E2,R10,840
E2,R11,830
E2,R12,790
E2,R13,810
E2,R14,880
E2,R15,880
E2,R16,830
E2,R17,800
E2,R18,790
E2,R19,760
E2,R20,800
E3,R1,880
E3,R2,880
E3,R3,880
E3,R4,860
E3,R5,720
E3,R6,720
E3,R7,620
E3,R8,860
E3,R9,970
E3,R10,950
E3,R11,880
E3,R12,910
E3,R13,850
E3,R14,870
E3,R15,840
E3,R16,840
E3,R17,850
E3,R18,840
E3,R19,840
E3,R20,840
E4,R1,890
E4,R2,810
E4,R3,810
E4,R4,820
E4,R5,800
E4,R6,770
E4,R7,760
E4,R8,740
E4,R9,750
E4,R10,760
E4,R11,910
E4,R12,920
E4,R13,890
E4,R14,860
E4,R15,880
E4,R16,720
E4,R17,840
E4,R18,850
E4,R19,850
E4,R20,780
E5,R1,890
E5,R2,840
E5,R3,780
E5,R4,810
E5,R5,760
E5,R6,810
E5,R7,790
E5,R8,810
E5,R9,820
E5,R10,850
E5,R11,870
E5,R12,870
E5,R13,810
E5,R14,740
E5,R15,810
E5,R16,940
E5,R17,950
E5,R18,800
E5,R19,810
E5,R20,870
